uf,Ano,Frase,Contagem,Porcentagem
BA,2018,Morte no trânsito,118,10.84
BA,2018,Feminicídio,89,8.17
BA,2018,Lesão corporal seguida de morte,83,7.62
BA,2018,Homicídio doloso,78,7.16
BA,2018,Morte por intervenção de Agente do Estado,63,5.79
BA,2018,Suicídio,42,3.86
BA,2018,Mortes a esclarecer,41,3.76
BA,2018,Suicídio ,40,3.67
BA,2018,Morte de Agente do Estado,19,1.74
BA,2019,Morte no trânsito,129,11.32
BA,2019,Lesão corporal seguida de morte,98,8.6
BA,2019,Feminicídio,81,7.11
BA,2019,Homicídio doloso,80,07.02
BA,2019,Morte por intervenção de Agente do Estado,74,6.49
BA,2019,Suicídio,65,5.7
BA,2019,Suicídio ,46,04.04
BA,2019,Mortes a esclarecer,45,3.95
BA,2019,Morte de Agente do Estado,17,1.49
BA,2020,Feminicídio,116,9.92
BA,2020,Homicídio doloso,105,8.98
BA,2020,Morte no trânsito,99,8.47
BA,2020,Lesão corporal seguida de morte,77,6.59
BA,2020,Mortes a esclarecer,61,5.22
BA,2020,Suicídio ,59,05.05
BA,2020,Morte por intervenção de Agente do Estado,55,4.7
BA,2020,Suicídio,52,4.45
BA,2020,Morte de Agente do Estado,12,01.03
BA,2021,Morte no trânsito,109,9.45
BA,2021,Lesão corporal seguida de morte,103,8.93
BA,2021,Homicídio doloso,93,08.07
BA,2021,Feminicídio,76,6.59
BA,2021,Morte por intervenção de Agente do Estado,71,6.16
BA,2021,Mortes a esclarecer,45,3.9
BA,2021,Suicídio ,44,3.82
BA,2021,Suicídio,43,3.73
BA,2021,Morte de Agente do Estado,11,0.95
BA,2022,Morte no trânsito,102,9.76
BA,2022,Feminicídio,78,7.46
BA,2022,Homicídio doloso,77,7.37
BA,2022,Lesão corporal seguida de morte,69,6.6
BA,2022,Mortes a esclarecer,63,06.03
BA,2022,Morte por intervenção de Agente do Estado,51,4.88
BA,2022,Suicídio,43,4.11
BA,2022,Suicídio ,40,3.83
BA,2022,Morte de Agente do Estado,15,1.44
BA,2023,Feminicídio,122,9.8
BA,2023,Morte no trânsito,122,9.8
BA,2023,Lesão corporal seguida de morte,88,07.07
BA,2023,Morte por intervenção de Agente do Estado,84,6.75
BA,2023,Homicídio doloso,76,6.1
